Raiz	Fruto	Herbivoro
6.225	59.77	ausente
6.487	60.98	ausente
4.919	14.73	ausente
5.13	19.28	ausente
5.417	34.25	ausente
5.359	35.53	ausente
7.614	87.73	ausente
6.352	63.21	ausente
4.975	24.25	ausente
6.93	64.34	ausente
6.248	52.92	ausente
5.451	32.35	ausente
6.013	53.61	ausente
5.928	54.86	ausente
6.264	64.81	ausente
7.181	73.24	ausente
7.001	80.64	ausente
4.426	18.89	ausente
7.302	75.49	ausente
5.836	46.73	ausente
10.253	116.05	presente
6.958	38.94	presente
8.001	60.77	presente
9.039	84.37	presente
8.91	70.11	presente
6.106	14.95	presente
7.691	70.7	presente
8.988	80.31	presente
8.975	82.35	presente
9.844	105.07	presente
8.508	73.79	presente
7.354	50.08	presente
8.643	78.28	presente
7.916	41.48	presente
9.351	98.47	presente
7.066	40.15	presente
8.158	52.26	presente
7.382	46.64	presente
8.515	71.01	presente
8.53	83.03	presente
